timestamp,url,URL,TIME,ERROR,Final
2021-12-23T14:52:43.929+05:00,TIMEOUT,usatoday.com,60.017,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T14:52:50.999+05:00,LOADTIME,list-manage.com,2.93,,2.93
2021-12-23T14:53:03.829+05:00,LOADTIME,webmd.com,8.808,,8.808
2021-12-23T14:53:28.170+05:00,LOADTIME,ebc.net.tw,20.172,,20.172
2021-12-23T14:53:39.884+05:00,LOADTIME,ea.com,7.619,,7.619
2021-12-23T14:53:51.253+05:00,LOADTIME,teachable.com,7.341,,7.341
2021-12-23T14:54:17.233+05:00,LOADTIME,outbrain.com,21.941,,21.941
2021-12-23T14:54:40.068+05:00,LOADTIME,ih5.cn,18.778,,18.778
2021-12-23T14:54:49.646+05:00,LOADTIME,elwatannews.com,5.552,,5.552
2021-12-23T14:55:53.733+05:00,TIMEOUT,huaban.com,60.02,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T14:56:11.280+05:00,LOADTIME,businessinsider.com,13.52,,13.52
2021-12-23T14:56:18.110+05:00,LOADTIME,bhphotovideo.com,2.658,,2.658
2021-12-23T14:56:27.154+05:00,LOADTIME,laodong.vn,5.008,,5.008
2021-12-23T14:56:37.102+05:00,LOADTIME,ikco.ir,5.921,,5.921
2021-12-23T14:57:28.992+05:00,LOADTIME,nypost.com,13.626,,13.626
2021-12-23T14:57:40.067+05:00,LOADTIME,ensonhaber.com,6.915,,6.915
2021-12-23T14:58:12.030+05:00,LOADTIME,verizon.com,27.914,,27.914
2021-12-23T14:58:24.465+05:00,LOADTIME,hbomax.com,8.259,,8.259
2021-12-23T14:58:33.538+05:00,LOADTIME,dhl.com,5.05,,5.05
2021-12-23T14:58:44.460+05:00,LOADTIME,softonic.com,6.893,,6.893
2021-12-23T14:58:52.378+05:00,LOADTIME,iherb.com,3.875,,3.875
2021-12-23T14:59:03.614+05:00,LOADTIME,rezka.ag,7.046,,7.046
2021-12-23T15:00:07.719+05:00,TIMEOUT,filimo.com,60.056,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T15:00:16.864+05:00,LOADTIME,ninisite.com,5.12,,5.12
2021-12-23T15:00:23.108+05:00,LOADTIME,buffer.com,2.221,,2.221
2021-12-23T15:00:54.188+05:00,LOADTIME,cafe24.com,27.053,,27.053
2021-12-23T15:01:03.427+05:00,LOADTIME,upwork.com,5.199,,5.199
2021-12-23T15:01:18.020+05:00,LOADTIME,impress.co.jp,10.523,,10.523
2021-12-23T15:01:41.887+05:00,LOADTIME,divar.ir,19.846,,19.846
2021-12-23T15:01:51.312+05:00,LOADTIME,state.gov,5.399,,5.399
2021-12-23T15:02:12.661+05:00,LOADTIME,nba.com,17.305,,17.305
2021-12-23T15:02:34.333+05:00,LOADTIME,livejournal.com,17.642,,17.642
2021-12-23T15:02:44.516+05:00,LOADTIME,line.me,6.115,,6.115
2021-12-23T15:02:49.783+05:00,LOADTIME,shopee.vn,1.235,,1.235
2021-12-23T15:03:03.068+05:00,LOADTIME,abs-cbn.com,9.248,,9.248
2021-12-23T15:03:11.466+05:00,LOADTIME,quora.com,4.366,,4.366
2021-12-23T15:03:39.644+05:00,LOADTIME,oschina.net,24.155,,24.155
2021-12-23T15:03:51.102+05:00,LOADTIME,hurriyet.com.tr,7.432,,7.432
2021-12-23T15:04:00.987+05:00,LOADTIME,ecer.com,5.795,,5.795
2021-12-23T15:04:08.886+05:00,LOADTIME,xero.com,3.877,,3.877
2021-12-23T15:04:21.190+05:00,LOADTIME,wish.com,8.273,,8.273
2021-12-23T15:04:27.016+05:00,LOADTIME,eatthis.com,1.754,,1.754
2021-12-23T15:05:31.058+05:00,TIMEOUT,pcbaby.com.cn,60.021,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T15:05:37.622+05:00,LOADTIME,protonmail.com,2.544,,2.544
2021-12-23T15:05:43.346+05:00,LOADTIME,google.ro,1.701,,1.701
2021-12-23T15:05:55.601+05:00,LOADTIME,bloomberg.com,8.229,,8.229
2021-12-23T15:06:01.343+05:00,LOADTIME,genius.com,1.576,,1.576
2021-12-23T15:06:13.633+05:00,LOADTIME,ticketmaster.com,8.209,,8.209
2021-12-23T15:06:19.215+05:00,LOADTIME,taleo.net,1.422,,1.422
2021-12-23T15:06:39.138+05:00,LOADTIME,asos.com,8.216,,8.216
2021-12-23T15:06:44.829+05:00,LOADTIME,google.az,1.609,,1.609
2021-12-23T15:07:01.076+05:00,LOADTIME,kontan.co.id,12.217,,12.217
2021-12-23T15:07:13.696+05:00,LOADTIME,crunchyroll.com,8.422,,8.422
2021-12-23T15:07:21.412+05:00,LOADTIME,issuu.com,3.626,,3.626
2021-12-23T15:07:44.475+05:00,LOADTIME,marriott.com,19.043,,19.043
2021-12-23T15:07:54.419+05:00,LOADTIME,regecish.net,5.51,,5.51
2021-12-23T15:08:02.867+05:00,LOADTIME,accuweather.com,4.419,,4.419
2021-12-23T15:08:12.967+05:00,LOADTIME,vrbo.com,6.023,,6.023
2021-12-23T15:08:28.700+05:00,LOADTIME,tdameritrade.com,11.693,,11.693
2021-12-23T15:08:40.947+05:00,LOADTIME,payu.in,8.155,,8.155
2021-12-23T15:08:46.263+05:00,LOADTIME,pixabay.com,1.154,,1.154
2021-12-23T15:09:00.637+05:00,LOADTIME,douban.com,10.348,,10.348
2021-12-23T15:09:05.924+05:00,LOADTIME,convertio.co,1.259,,1.259
2021-12-23T15:09:14.672+05:00,LOADTIME,gsmarena.com,4.727,,4.727
2021-12-23T15:09:19.595+05:00,LOADTIME,activehosted.com,0.855,,0.855
