time,power_consumption.power,,
2021-12-23T22:14:48.268+05:00,0,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
2021-12-23T22:14:48.769+05:00,0,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
2021-12-23T22:14:49.270+05:00,0,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
2021-12-23T22:14:49.773+05:00,0,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
2021-12-23T22:14:50.276+05:00,0.576590753,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
2021-12-23T22:14:50.780+05:00,0,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
2021-12-23T22:14:51.282+05:00,0.516011672,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:51.784+05:00,0,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:52.286+05:00,0.405850713,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:52.788+05:00,0,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:53.290+05:00,0.680562008,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:53.792+05:00,0,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:54.294+05:00,0.364830202,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:54.795+05:00,0,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:55.296+05:00,0.351706555,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:55.798+05:00,0,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:56.300+05:00,0.992480042,51.la,2021-12-23T22:14:50.973+05:00
2021-12-23T22:14:56.802+05:00,0,TIMEOUT|51.la|5.422|unknown error: net::ERR_SSL_PROTOCOL_ERROR,2021-12-23T22:14:56.395+05:00
2021-12-23T22:14:57.305+05:00,1.596717511,TIMEOUT|51.la|5.422|unknown error: net::ERR_SSL_PROTOCOL_ERROR,2021-12-23T22:14:56.395+05:00
