time,power_consumption.power,,
2021-12-23T02:39:35.395+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:35.897+05:00,0.016908914,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:36.400+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:36.903+05:00,0.038700033,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:37.406+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:37.909+05:00,0.025363582,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:38.411+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:38.914+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:39.427+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:39.928+05:00,0.035213758,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:40.431+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:40.933+05:00,0.050228885,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:41.436+05:00,0.020574337,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:41.937+05:00,0.19635564,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:42.440+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:42.943+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:43.445+05:00,0.004027773,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:43.948+05:00,1.272766025,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:44.450+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:44.952+05:00,1.394226874,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:45.456+05:00,0.231375467,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:45.958+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:46.461+05:00,0.032236625,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:46.963+05:00,0.024939732,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:47.466+05:00,0.075024728,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:47.970+05:00,0.069454592,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:48.472+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:48.975+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:49.477+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:49.980+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:50.483+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:50.987+05:00,0.021176644,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:51.490+05:00,0.022884294,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:51.992+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:52.495+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:52.999+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:53.500+05:00,0.000938947,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:54.003+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:54.512+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:55.015+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:55.518+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:56.021+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:56.523+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:57.025+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:57.527+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
