time,power_consumption.power,URL,Opening Time,Sum of sensor readings,count of sensor readings,average of sensor readings
2021-10-26T17:41:21.850+05:00,0.077912001,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:22.351+05:00,0,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:22.852+05:00,0.959159129,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:23.354+05:00,0.434797784,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:23.855+05:00,0.073925572,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:24.358+05:00,0.109704822,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:24.859+05:00,0.288327429,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:25.362+05:00,0.105275264,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:25.863+05:00,6.830889544,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:26.364+05:00,0.542924324,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:26.865+05:00,1.799108085,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:27.370+05:00,0.313661926,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:27.872+05:00,0.311578594,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:28.373+05:00,1.331961503,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:28.874+05:00,8.863485126,patreon.com,2021-10-26T17:41:28.716+0500,174.4423455,36,4.845620708
2021-10-26T17:41:29.375+05:00,3.991313515,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:29.876+05:00,3.9609913,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:30.377+05:00,6.758471948,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:30.879+05:00,5.128772443,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:31.380+05:00,5.520394246,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:31.881+05:00,2.442548305,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:32.383+05:00,22.228577,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:32.884+05:00,19.34702467,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:33.385+05:00,9.799192639,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:33.886+05:00,10.64734143,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:34.387+05:00,8.82514922,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:34.889+05:00,5.161939001,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:35.390+05:00,4.934678782,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:35.890+05:00,6.174058575,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:36.392+05:00,5.145280246,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:36.893+05:00,8.665625296,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:37.395+05:00,2.500289058,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:37.897+05:00,3.507058928,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:38.399+05:00,3.840970987,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:38.900+05:00,1.760766504,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:39.402+05:00,0.972868291,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:39.903+05:00,1.461867217,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:40.404+05:00,1.647036082,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:40.905+05:00,3.870581108,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:41.406+05:00,1.559842365,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:41.908+05:00,1.42134075,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:42.410+05:00,1.092347575,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:42.911+05:00,1.912341044,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:43.412+05:00,0.517818911,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:43.913+05:00,7.373582142,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:44.415+05:00,1.420841149,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:44.916+05:00,0.076739942,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:45.418+05:00,0.395838783,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:45.920+05:00,0.342537002,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:46.421+05:00,1.172833892,patreon.com,2021-10-26T17:41:28.716+0500,,,-
2021-10-26T17:41:46.922+05:00,9.201938444,constantcontact.com,2021-10-26T17:41:46.779+0500,240.4367357,36,6.678798213
2021-10-26T17:41:47.423+05:00,3.07333057,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:47.928+05:00,3.762209177,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:48.429+05:00,2.398907484,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:48.930+05:00,2.347209244,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:49.432+05:00,3.088815649,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:49.934+05:00,1.479085089,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:50.436+05:00,1.639573441,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:50.937+05:00,0.892154792,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:51.438+05:00,7.612673176,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:51.940+05:00,4.435428078,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:52.441+05:00,13.25344626,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:52.942+05:00,19.66236668,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:53.443+05:00,16.19977706,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:53.944+05:00,7.759060287,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:54.445+05:00,13.778269,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:54.946+05:00,6.452311698,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:55.449+05:00,7.132179288,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:55.950+05:00,8.00356282,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:56.451+05:00,8.012262513,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:56.952+05:00,17.6931673,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:57.453+05:00,6.610800664,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:57.954+05:00,11.73267197,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:58.455+05:00,10.29785507,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:58.956+05:00,4.602248835,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:59.457+05:00,9.812957253,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:41:59.959+05:00,7.986741952,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:00.460+05:00,3.607370065,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:00.962+05:00,8.983675199,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:01.463+05:00,5.483641912,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:01.964+05:00,8.447212008,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:02.466+05:00,1.866556806,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:02.967+05:00,0.163597891,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:03.468+05:00,0.634691303,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:03.970+05:00,0.245227456,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:04.472+05:00,2.083759227,constantcontact.com,2021-10-26T17:41:46.779+0500,,,-
2021-10-26T17:42:04.973+05:00,16.11162129,qualtrics.com,2021-10-26T17:42:04.842+0500,382.8075896,36,10.63354416
2021-10-26T17:42:05.474+05:00,2.529049665,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:05.976+05:00,2.03226672,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:06.477+05:00,2.683343211,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:06.979+05:00,1.996514162,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:07.480+05:00,11.46418635,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:07.981+05:00,11.63044472,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:08.482+05:00,24.32277494,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:08.991+05:00,20.3991509,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:09.492+05:00,15.32102781,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:09.995+05:00,15.74969707,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:10.497+05:00,12.2054526,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:10.999+05:00,10.57658201,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:11.500+05:00,8.654987341,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:12.001+05:00,13.90173797,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:12.503+05:00,8.63459697,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:13.004+05:00,11.27680359,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:13.507+05:00,12.3207256,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:14.009+05:00,8.307133693,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:14.511+05:00,7.374394849,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:15.013+05:00,7.73743303,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:15.515+05:00,10.87389852,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:16.017+05:00,11.78606458,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:16.520+05:00,19.99356042,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:17.021+05:00,22.6367879,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:17.522+05:00,17.72645307,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:18.024+05:00,9.899759948,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:18.525+05:00,6.246545868,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:19.027+05:00,13.30478931,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:19.529+05:00,9.423396264,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:20.030+05:00,15.66790146,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:20.532+05:00,2.184748524,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:21.034+05:00,3.344752501,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:21.537+05:00,0.760561443,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:22.039+05:00,0.554284973,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:22.540+05:00,13.17416037,qualtrics.com,2021-10-26T17:42:04.842+0500,,,-
2021-10-26T17:42:23.042+05:00,5.549628076,reuters.com,2021-10-26T17:42:22.993+0500,225.3498245,36,6.259717347
2021-10-26T17:42:23.544+05:00,2.48272354,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:24.045+05:00,3.477356058,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:24.547+05:00,4.674987458,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:25.048+05:00,6.856874708,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:25.549+05:00,24.26674124,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:26.051+05:00,20.25076205,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:26.553+05:00,15.81198549,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:27.056+05:00,8.755455423,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:27.558+05:00,13.68315591,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:28.060+05:00,16.16461656,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:28.561+05:00,7.984125274,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:29.062+05:00,8.345333662,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:29.563+05:00,5.686209481,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:30.069+05:00,7.932925959,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:30.570+05:00,5.327400486,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:31.071+05:00,6.499058949,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:31.572+05:00,3.774541565,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:32.074+05:00,4.52833807,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:32.576+05:00,7.630016151,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:33.078+05:00,3.959509381,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:33.580+05:00,0.442749064,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:34.081+05:00,3.925033953,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:34.584+05:00,2.400543166,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:35.087+05:00,6.124625875,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:35.589+05:00,0.377860743,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:36.092+05:00,0.839543162,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:36.595+05:00,5.627803733,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:37.097+05:00,1.177204316,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:37.598+05:00,0.414504271,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:38.100+05:00,9.57676377,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:38.602+05:00,7.756662836,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:39.104+05:00,0.750324141,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:39.605+05:00,0.21617773,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:40.106+05:00,1.068627737,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:40.608+05:00,1.009654487,reuters.com,2021-10-26T17:42:22.993+0500,,,-
2021-10-26T17:42:41.109+05:00,1.021690885,fc2.com,2021-10-26T17:42:41.072+0500,104.7326939,36,2.909241498
