time,power_consumption.power,url,starttime
2021-11-14T01:02:12.829+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:13.332+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:13.835+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:14.338+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:14.840+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:15.343+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:15.854+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:16.356+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:16.859+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:17.362+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:17.865+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:18.367+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:18.869+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:19.371+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:19.874+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:20.377+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:20.880+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:21.383+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:21.885+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:22.387+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:22.888+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:23.389+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:23.891+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:24.394+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:24.897+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:25.399+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:25.902+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:26.404+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:26.907+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:27.410+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:27.912+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:28.415+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:28.918+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:29.420+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:29.923+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:30.426+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:30.929+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:31.432+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:31.935+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:32.437+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:32.939+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:33.442+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:33.945+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:34.448+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:34.951+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:35.453+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:35.956+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:36.459+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:36.962+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:37.463+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:37.966+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:38.468+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:38.971+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:39.472+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:39.973+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:40.474+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:40.977+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:41.480+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:41.983+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:42.486+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:42.989+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:43.492+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:43.995+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:44.498+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:45.000+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:45.503+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:46.005+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:46.507+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:47.009+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:47.512+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:48.015+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:48.517+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:49.019+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:49.522+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:50.023+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:50.526+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:51.029+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:51.531+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:52.033+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:52.537+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:53.039+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:53.542+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:54.045+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:54.547+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:55.050+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:55.553+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
