reading_time,power_watts,url,url_opening_time,SUM,COUNT,AVG
2021-11-24T01:03:35.727+05:00,18.42033715,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:36.228+05:00,19.70929202,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:36.739+05:00,20.59820421,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:37.240+05:00,21.89228405,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:37.741+05:00,20.67032658,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:38.242+05:00,18.72203705,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:38.743+05:00,20.42106989,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:39.244+05:00,21.14786461,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:39.745+05:00,22.7532168,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:40.250+05:00,20.02412072,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:40.786+05:00,21.14820388,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:41.287+05:00,22.64835875,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:41.789+05:00,20.51195144,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:42.290+05:00,18.32883284,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:42.791+05:00,18.82070375,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:43.292+05:00,23.1121037,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:43.793+05:00,18.82827539,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:44.294+05:00,19.9564209,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:44.795+05:00,20.07962569,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:45.296+05:00,22.6744042,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:45.797+05:00,18.70059343,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:46.298+05:00,19.32666407,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:46.799+05:00,18.73202171,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:47.300+05:00,21.03910995,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:47.801+05:00,18.57250104,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:48.302+05:00,19.00063974,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
